iter	Passed	Remaining
398	12194	18368
399	12221	18332
400	12241	18285
401	12264	18243
402	12287	18202
403	12309	18160
404	12331	18116
405	12351	18070
406	12371	18024
407	12392	17981
408	12414	17938
409	12433	17891
410	12452	17846
411	12478	17808
412	12504	17772
413	12526	17731
414	12547	17687
415	12566	17642
416	12586	17596
417	12608	17555
418	12645	17534
419	12663	17487
420	12697	17463
421	12737	17446
422	12764	17412
423	12794	17380
424	12816	17340
425	12836	17295
426	12859	17256
427	12882	17216
428	12907	17179
429	12947	17162
430	12978	17133
431	12998	17091
432	13021	17051
433	13070	17046
434	13119	17040
435	13168	17034
436	13210	17019
437	13236	16984
438	13254	16937
439	13275	16896
440	13295	16853
441	13319	16815
442	13342	16776
443	13361	16732
444	13379	16687
445	13401	16646
446	13425	16609
447	13447	16569
448	13473	16533
449	13500	16500
450	13528	16467
451	13549	16427
452	13577	16394
453	13609	16366
454	13630	16326
455	13649	16284
456	13678	16252
457	13703	16216
458	13720	16172
459	13744	16134
460	13766	16095
461	13799	16069
462	13817	16025
463	13835	15982
464	13856	15942
465	13879	15904
466	13900	15865
467	13919	15822
468	13937	15780
469	13965	15748
470	13984	15706
471	14005	15667
472	14028	15630
473	14051	15593
474	14073	15554
475	14098	15519
476	14119	15480
477	14137	15439
478	14160	15401
479	14184	15366
480	14204	15326
481	14227	15289
482	14248	15251
483	14272	15215
484	14290	15174
485	14312	15137
486	14331	15097
487	14356	15062
488	14375	15022
489	14392	14980
490	14415	14944
491	14435	14905
492	14457	14867
493	14488	14840
494	14509	14802
495	14549	14784
496	14578	14754
497	14601	14718
498	14621	14680
499	14644	14644
500	14667	14608
501	14691	14574
502	14712	14537
503	14733	14499
504	14755	14463
505	14774	14423
506	14796	14388
507	14817	14350
508	14841	14317
509	14863	14280
510	14883	14243
511	14902	14204
512	14924	14167
513	14949	14134
514	14981	14108
515	15007	14076
516	15030	14041
517	15050	14004
518	15068	13965
519	15087	13927
520	15107	13889
521	15127	13852
522	15147	13814
523	15176	13786
524	15218	13769
525	15264	13755
526	15287	13720
527	15311	13687
528	15336	13654
529	15356	13617
530	15380	13584
531	15402	13549
532	15427	13516
533	15449	13482
534	15478	13453
535	15501	13418
536	15523	13384
537	15555	13357
538	15580	13325
539	15614	13301
540	15657	13284
541	15705	13271
542	15734	13242
543	15767	13217
544	15799	13190
545	15823	13156
546	15842	13119
547	15861	13083
548	15884	13049
549	15903	13012
550	15922	12974
551	15944	12940
552	15966	12906
553	15992	12875
554	16033	12855
555	16072	12834
556	16091	12798
557	16111	12762
558	16140	12733
559	16178	12711
560	16208	12683
561	16228	12647
562	16250	12613
563	16271	12578
564	16295	12545
565	16317	12511
566	16338	12477
567	16361	12444
568	16395	12419
569	16429	12394
570	16455	12363
571	16477	12329
572	16499	12295
573	16523	12263
574	16547	12231
575	16568	12195
576	16589	12161
577	16615	12130
578	16638	12097
579	16660	12064
580	16680	12029
581	16700	11994
582	16727	11964
583	16751	11932
584	16775	11900
585	16793	11864
586	16832	11842
587	16853	11808
588	16877	11777
589	16902	11745
590	16923	11711
591	16947	11679
592	16970	11647
593	16993	11615
594	17017	11583
595	17036	11548
596	17056	11514
597	17085	11485
598	17107	11452
599	17127	11418
600	17148	11384
601	17170	11352
602	17193	11319
603	17215	11286
604	17239	11255
605	17270	11228
606	17296	11198
607	17317	11165
608	17344	11136
609	17369	11105
610	17399	11077
611	17424	11046
612	17455	11019
613	17492	10996
614	17515	10964
615	17539	10933
616	17561	10901
617	17579	10866
618	17600	10833
619	17622	10801
620	17642	10767
621	17664	10734
622	17685	10702
623	17705	10668
624	17726	10636
625	17747	10603
626	17765	10568
627	17782	10533
628	17803	10501
629	17826	10469
630	17846	10436
631	17864	10402
632	17883	10368
633	17904	10335
634	17926	10304
635	17949	10273
636	17999	10257
637	18033	10232
638	18054	10199
639	18086	10173
640	18128	10153
641	18178	10137
642	18227	10120
643	18249	10088
644	18271	10056
645	18303	10030
646	18325	9998
647	18356	9971
648	18379	9940
649	18398	9906
650	18416	9873
651	18438	9841
652	18459	9809
653	18478	9775
654	18497	9742
655	18520	9711
656	18542	9680
657	18562	9647
658	18582	9615
659	18625	9594
660	18645	9562
661	18664	9529
662	18685	9497
663	18707	9466
664	18731	9436
665	18753	9404
666	18784	9378
667	18813	9350
668	18834	9318
669	18854	9286
670	18876	9255
671	18899	9224
672	18920	9193
673	18941	9161
674	18959	9128
675	18990	9101
676	19012	9070
677	19042	9044
678	19072	9016
679	19092	8984
680	19118	8955
681	19137	8923
682	19156	8891
683	19182	8862
684	19204	8831
685	19228	8801
686	19248	8769
687	19271	8739
688	19293	8708
689	19328	8683
690	19355	8655
691	19379	8625
692	19409	8598
693	19431	8567
694	19452	8536
695	19478	8507
696	19508	8480
697	19551	8459
698	19585	8433
699	19613	8405
700	19641	8377
701	19686	8356
702	19718	8330
703	19751	8304
704	19784	8278
705	19816	8252
706	19848	8225
707	19886	8201
708	19929	8179
709	19953	8150
710	19979	8121
711	20011	8094
712	20042	8067
713	20077	8042
714	20098	8011
715	20128	7983
716	20162	7958
717	20189	7929
718	20217	7901
719	20246	7873
720	20270	7844
721	20290	7812
722	20311	7781
723	20337	7752
724	20365	7724
725	20391	7695
726	20414	7665
727	20446	7639
728	20473	7610
729	20501	7582
730	20546	7560
731	20579	7534
732	20615	7509
733	20640	7480
734	20662	7449
735	20690	7421
736	20714	7392
737	20738	7362
738	20765	7334
739	20796	7306
740	20838	7283
741	20864	7254
742	20893	7226
743	20918	7197
744	20955	7172
745	20982	7144
746	21013	7117
747	21046	7090
748	21079	7064
749	21131	7043
750	21169	7018
751	21196	6990
752	21222	6961
753	21242	6930
754	21265	6900
755	21288	6871
756	21309	6840
757	21337	6812
758	21359	6782
759	21383	6752
760	21404	6722
761	21427	6692
762	21448	6662
763	21474	6633
764	21497	6603
765	21516	6573
766	21536	6542
767	21560	6512
768	21594	6486
769	21623	6458
770	21643	6428
771	21662	6397
772	21700	6372
773	21725	6343
774	21762	6318
775	21791	6290
776	21832	6266
777	21862	6238
778	21896	6211
779	21920	6182
780	21946	6154
781	21971	6125
782	21995	6095
783	22020	6066
784	22049	6039
785	22079	6011
786	22113	5984
787	22152	5959
788	22175	5930
789	22211	5904
790	22251	5879
791	22296	5855
792	22335	5830
793	22365	5802
794	22391	5773
795	22419	5745
796	22446	5717
797	22464	5686
798	22485	5656
799	22517	5629
800	22550	5602
801	22571	5572
802	22601	5544
803	22624	5515
804	22651	5486
805	22674	5457
806	22699	5428
807	22725	5400
808	22755	5372
809	22783	5344
810	22804	5314
811	22822	5284
812	22848	5255
813	22874	5226
814	22913	5201
815	22939	5172
816	22974	5146
817	23008	5119
818	23032	5090
819	23063	5062
820	23090	5034
821	23118	5006
