iter	Passed	Remaining
401	19812	9758
402	19855	9706
403	19899	9654
404	19941	9601
405	19983	9548
406	20032	9499
407	20078	9448
408	20119	9395
409	20162	9343
410	20206	9292
411	20248	9239
412	20290	9187
413	20336	9136
414	20377	9084
415	20420	9032
416	20464	8980
417	20505	8928
418	20553	8878
419	20599	8828
420	20640	8775
421	20684	8724
422	20725	8672
423	20770	8621
424	20813	8570
425	20856	8519
426	20907	8470
427	20958	8422
428	21000	8370
429	21042	8319
430	21084	8267
431	21126	8215
432	21165	8163
433	21208	8111
434	21248	8059
435	21290	8008
436	21331	7956
437	21377	7906
438	21424	7857
439	21468	7806
440	21511	7755
441	21553	7704
442	21596	7653
443	21642	7603
444	21682	7552
445	21726	7501
446	21769	7451
447	21810	7400
448	21855	7349
449	21901	7300
450	21943	7249
451	21986	7199
452	22026	7147
453	22072	7098
454	22118	7048
455	22161	6998
456	22203	6947
457	22245	6897
458	22288	6846
459	22329	6795
460	22379	6747
461	22435	6701
462	22481	6652
463	22527	6602
464	22585	6557
465	22634	6508
466	22678	6458
467	22723	6409
468	22767	6359
469	22817	6311
470	22861	6261
471	22904	6211
472	22948	6161
473	22992	6111
474	23036	6062
475	23079	6012
476	23121	5962
477	23168	5913
478	23210	5863
479	23251	5812
480	23292	5762
481	23341	5714
482	23380	5663
483	23427	5614
484	23474	5566
485	23517	5516
486	23562	5467
487	23603	5417
488	23646	5367
489	23693	5318
490	23740	5270
491	23781	5220
492	23825	5170
493	23868	5121
494	23913	5072
495	23957	5023
496	24001	4974
497	24045	4924
498	24086	4875
499	24130	4826
500	24174	4776
501	24220	4728
502	24267	4679
503	24312	4630
504	24354	4581
505	24400	4532
506	24443	4483
507	24487	4434
508	24529	4385
509	24575	4336
510	24618	4287
511	24660	4238
512	24703	4189
513	24750	4141
514	24794	4092
515	24839	4043
516	24880	3994
517	24927	3946
518	24976	3898
519	25025	3850
520	25066	3800
521	25110	3752
522	25152	3703
523	25192	3653
524	25238	3605
525	25283	3556
526	25330	3508
527	25379	3460
528	25424	3412
529	25468	3363
530	25506	3314
531	25546	3265
532	25587	3216
533	25630	3167
534	25669	3118
535	25710	3069
536	25754	3021
537	25797	2972
538	25847	2925
539	25890	2876
540	25932	2828
541	25973	2779
542	26015	2730
543	26056	2682
544	26099	2633
545	26146	2585
546	26188	2537
547	26236	2489
548	26282	2441
549	26330	2393
550	26385	2346
551	26426	2297
552	26471	2249
553	26514	2201
554	26555	2153
555	26602	2105
556	26654	2057
557	26700	2009
558	26746	1961
559	26793	1913
560	26839	1865
561	26881	1817
562	26927	1769
563	26975	1721
564	27019	1673
565	27071	1626
566	27117	1578
567	27161	1530
568	27205	1482
569	27246	1434
570	27288	1385
571	27331	1337
572	27379	1290
573	27427	1242
574	27479	1194
575	27525	1146
576	27570	1099
577	27618	1051
578	27666	1003
579	27710	955
580	27752	907
581	27798	859
582	27839	811
583	27883	763
584	27932	716
585	27978	668
586	28020	620
587	28068	572
588	28111	525
589	28162	477
590	28206	429
591	28256	381
592	28304	334
593	28352	286
594	28402	238
595	28452	190
596	28497	143
597	28547	95
598	28589	47
599	28634	0
