iter	Passed	Remaining
401	12201	18150
402	12229	18115
403	12253	18077
404	12278	18039
405	12308	18008
406	12332	17968
407	12357	17931
408	12387	17900
409	12411	17860
410	12437	17824
411	12462	17785
412	12493	17756
413	12521	17723
414	12549	17690
415	12585	17667
416	12608	17627
417	12632	17589
418	12661	17557
419	12685	17518
420	12718	17491
421	12741	17451
422	12766	17414
423	12800	17389
424	12858	17397
425	12882	17358
426	12912	17327
427	12936	17288
428	12964	17256
429	13000	17232
430	13028	17200
431	13050	17159
432	13080	17128
433	13115	17104
434	13145	17073
435	13173	17040
436	13203	17009
437	13227	16972
438	13257	16942
439	13280	16902
440	13312	16874
441	13341	16843
442	13373	16814
443	13419	16804
444	13453	16779
445	13484	16749
446	13520	16726
447	13550	16696
448	13581	16666
449	13607	16631
450	13638	16601
451	13666	16568
452	13691	16532
453	13726	16507
454	13750	16470
455	13779	16438
456	13828	16431
457	13880	16426
458	13918	16405
459	13947	16373
460	13973	16338
461	14000	16303
462	14032	16274
463	14062	16244
464	14092	16213
465	14116	16175
466	14145	16144
467	14168	16106
468	14195	16072
469	14226	16042
470	14256	16011
471	14280	15975
472	14310	15944
473	14350	15924
474	14379	15893
475	14407	15860
476	14440	15833
477	14467	15799
478	14496	15767
479	14521	15731
480	14549	15698
481	14583	15672
482	14605	15633
483	14634	15602
484	14662	15569
485	14688	15534
486	14715	15501
487	14766	15492
488	14789	15455
489	14828	15434
490	14855	15400
491	14883	15367
492	14909	15332
493	14934	15297
494	14968	15270
495	14997	15239
496	15025	15207
497	15050	15171
498	15076	15137
499	15107	15107
500	15133	15073
501	15167	15046
502	15200	15019
503	15230	14989
504	15263	14961
505	15295	14933
506	15331	14907
507	15359	14875
508	15390	14845
509	15416	14812
510	15442	14777
511	15508	14781
512	15543	14755
513	15585	14736
514	15625	14715
515	15656	14685
516	15688	14657
517	15718	14626
518	15765	14611
519	15794	14579
520	15850	14573
521	15873	14535
522	15903	14504
523	15924	14465
524	15950	14431
525	15973	14394
526	16012	14371
527	16046	14344
528	16069	14307
529	16098	14276
530	16127	14244
531	16152	14209
532	16181	14177
533	16212	14147
534	16235	14111
535	16265	14080
536	16287	14043
537	16316	14011
538	16343	13978
539	16367	13942
540	16394	13909
541	16425	13879
542	16449	13844
543	16479	13813
544	16514	13787
545	16544	13756
546	16572	13724
547	16595	13688
548	16625	13657
549	16656	13627
550	16680	13592
551	16710	13561
552	16741	13532
553	16769	13500
554	16795	13466
555	16840	13447
556	16861	13410
557	16885	13375
558	16918	13347
559	16952	13319
560	16975	13283
561	17005	13253
562	17036	13223
563	17059	13187
564	17090	13158
565	17120	13127
